tile_id,mae_lr,mae_sr,mae_gt_raster,refused_lr,refused_sr,refused_gt_raster,gt_forest,gt_agriculture,gt_urban,gt_water,gt_bare_soil,lr_forest,sr_forest,lr_agriculture,sr_agriculture,lr_urban,sr_urban,lr_water,sr_water,lr_bare_soil,sr_bare_soil,mae_lr_forest,mae_sr_forest,mae_lr_agriculture,mae_sr_agriculture,mae_lr_urban,mae_sr_urban,mae_lr_water,mae_sr_water,mae_lr_bare_soil,mae_sr_bare_soil
tile_0016,27.72,13.719999999999999,15.719999999999999,False,False,False,10.7,89.3,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,0.0,25.0,20.0,29.3,9.3,69.3,39.3,5.0,0.0,10.0,0.0,25.0,20.0
tile_0017,19.6,20.0,19.8,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,20.0,50.0,60.0,0.0,0.0,0.0,0.0,28.0,20.0,20.0,20.0,50.0,60.0,0.0,0.0,0.0,0.0,28.0,20.0
tile_0018,14.524000000000001,22.524,14.524000000000001,False,False,False,43.69,56.31,0.0,0.0,0.0,50.0,65.0,20.0,0.0,5.0,0.0,5.0,20.0,20.0,15.0,6.310000000000002,21.310000000000002,36.31,56.31,5.0,0.0,5.0,20.0,20.0,15.0
tile_0019,10.0,10.0,9.704000000000002,False,False,False,76.76,23.24,0.0,0.0,0.0,75.0,60.0,0.0,20.0,0.0,5.0,0.0,10.0,25.0,15.0,1.7600000000000051,16.760000000000005,23.24,3.2399999999999984,0.0,5.0,0.0,10.0,25.0,15.0
tile_0020,26.784,30.784,24.784,False,False,False,23.04,76.96,0.0,0.0,0.0,50.0,60.0,10.0,0.0,5.0,0.0,10.0,20.0,25.0,20.0,26.96,36.96,66.96,76.96,5.0,0.0,10.0,20.0,25.0,20.0
tile_0021,40.0,40.0,40.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,50.0,60.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,40.0
tile_0022,26.0,26.0,26.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,40.0,30.0,30.0,5.0,5.0,10.0,10.0,5.0,5.0,40.0,40.0,70.0,70.0,5.0,5.0,10.0,10.0,5.0,5.0
tile_0023,28.0,20.0,22.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,25.0,5.0,5.0,40.0,20.0,80.0,50.0,5.0,0.0,10.0,25.0,5.0,5.0
tile_0024,12.772000000000002,15.772000000000002,12.772000000000002,False,False,False,33.07,66.93,0.0,0.0,0.0,40.0,45.0,30.0,20.0,5.0,10.0,10.0,5.0,5.0,5.0,6.93,11.93,36.93000000000001,46.93000000000001,5.0,10.0,10.0,5.0,5.0,5.0
tile_0025,36.0,,29.0,False,True,False,0.0,100.0,0.0,0.0,0.0,20.0,,10.0,,30.0,,10.0,,30.0,,20.0,,90.0,,30.0,,10.0,,30.0,
tile_0026,38.0,,,False,True,True,0.0,100.0,0.0,0.0,0.0,10.0,,10.0,,60.0,,10.0,,20.0,,10.0,,90.0,,60.0,,10.0,,20.0,
tile_0027,18.363999999999997,16.363999999999997,,False,False,True,26.59,73.41,0.0,0.0,0.0,45.0,45.0,20.0,30.0,10.0,10.0,5.0,5.0,5.0,5.0,18.41,18.41,53.41,43.41,10.0,10.0,5.0,5.0,5.0,5.0
tile_0028,28.0,,30.0,False,True,False,55.54,44.46,0.0,0.0,0.0,10.0,,20.0,,50.0,,10.0,,10.0,,45.54,,24.46,,50.0,,10.0,,10.0,
tile_0029,29.344,12.344,11.344,False,False,False,19.14,80.86,0.0,0.0,0.0,20.0,20.0,10.0,50.0,10.0,20.0,10.0,5.0,55.0,5.0,0.8599999999999994,0.8599999999999994,70.86,30.86,10.0,20.0,10.0,5.0,55.0,5.0
tile_0030,27.784,24.784,19.784,False,False,False,0.54,99.46,0.0,0.0,0.0,20.0,40.0,30.0,30.0,5.0,5.0,10.0,5.0,35.0,5.0,19.46,39.46,69.46,69.46,5.0,5.0,10.0,5.0,35.0,5.0
tile_0031,19.436,12.0,10.0,False,False,False,31.41,68.59,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,10.0,25.0,20.0,8.59,11.41,48.59,18.590000000000003,5.0,0.0,10.0,10.0,25.0,20.0
tile_0032,26.604000000000003,25.604000000000003,23.604000000000003,False,False,False,0.99,99.01,0.0,0.0,0.0,50.0,40.0,30.0,30.0,5.0,5.0,5.0,10.0,5.0,5.0,49.01,39.01,69.01,69.01,5.0,5.0,5.0,10.0,5.0,5.0
tile_0033,17.308,19.308,17.308,False,False,False,6.73,93.27,0.0,0.0,0.0,30.0,30.0,50.0,50.0,0.0,10.0,0.0,10.0,20.0,10.0,23.27,23.27,43.269999999999996,43.269999999999996,0.0,10.0,0.0,10.0,20.0,10.0
tile_0034,27.288,20.288,19.288,False,False,False,1.78,98.22,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,5.0,10.0,25.0,5.0,5.0,38.22,18.22,78.22,48.22,5.0,5.0,10.0,25.0,5.0,5.0
tile_0035,32.0,20.0,19.8,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,25.0,25.0,5.0,40.0,20.0,80.0,50.0,5.0,0.0,10.0,25.0,25.0,5.0
tile_0036,10.48,10.48,10.48,False,False,False,73.8,26.2,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,10.0,1.2000000000000028,1.2000000000000028,26.2,26.2,0.0,0.0,0.0,15.0,25.0,10.0
tile_0037,27.095999999999997,26.695999999999998,27.095999999999997,False,False,False,32.26,67.74,0.0,0.0,0.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,6.0,17.740000000000002,42.74,67.74,67.74,0.0,0.0,0.0,17.0,50.0,6.0
tile_0038,32.0,34.0,36.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,60.0,20.0,20.0,5.0,5.0,5.0,10.0,20.0,15.0,50.0,60.0,80.0,80.0,5.0,5.0,5.0,10.0,20.0,15.0
tile_0039,28.0,40.0,32.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,50.0,30.0,0.0,5.0,0.0,10.0,25.0,5.0,25.0,50.0,50.0,70.0,100.0,5.0,0.0,10.0,25.0,5.0,25.0
tile_0040,40.0,20.0,19.6,False,False,False,0.0,100.0,0.0,0.0,0.0,75.0,30.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,20.0,75.0,30.0,100.0,50.0,0.0,0.0,0.0,0.0,25.0,20.0
tile_0041,32.0,16.0,16.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,20.0,20.0,60.0,5.0,0.0,5.0,0.0,20.0,20.0,50.0,20.0,80.0,40.0,5.0,0.0,5.0,0.0,20.0,20.0
tile_0042,31.556,22.556,22.556,False,False,False,6.11,93.89,0.0,0.0,0.0,50.0,40.0,20.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0,43.89,33.89,73.89,63.89,5.0,5.0,10.0,5.0,25.0,5.0
tile_0043,36.0,30.0,,False,False,True,0.0,100.0,0.0,0.0,0.0,20.0,10.0,10.0,20.0,30.0,40.0,10.0,10.0,30.0,10.0,20.0,10.0,90.0,80.0,30.0,40.0,10.0,10.0,30.0,10.0
tile_0044,28.948,,,False,True,True,0.13,99.87,0.0,0.0,0.0,10.0,,20.0,,40.0,,5.0,,10.0,,9.87,,79.87,,40.0,,5.0,,10.0,
tile_0045,15.0,17.0,17.0,False,False,False,50.42,49.58,0.0,0.0,0.0,45.0,45.0,10.0,10.0,5.0,10.0,20.0,10.0,5.0,20.0,5.420000000000002,5.420000000000002,39.58,39.58,5.0,10.0,20.0,10.0,5.0,20.0
tile_0046,20.0,20.0,,False,False,True,0.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,10.0,50.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,50.0,60.0,10.0,10.0,10.0,10.0
tile_0047,34.412,,,False,True,True,8.97,91.03,0.0,0.0,0.0,20.0,,10.0,,60.0,,10.0,,10.0,,11.03,,81.03,,60.0,,10.0,,10.0,
tile_0048,13.0,26.0,28.0,False,False,False,24.18,75.82,0.0,0.0,0.0,20.0,20.0,50.0,10.0,25.0,30.0,5.0,10.0,5.0,20.0,4.18,4.18,25.819999999999993,65.82,25.0,30.0,5.0,10.0,5.0,20.0
tile_0049,25.788,17.788,20.0,False,False,False,35.53,64.47,0.0,0.0,0.0,50.0,40.0,0.0,20.0,0.0,10.0,0.0,5.0,50.0,25.0,14.469999999999999,4.469999999999999,64.47,44.47,0.0,10.0,0.0,5.0,50.0,25.0
tile_0050,18.0,28.0,20.0,False,False,False,0.0,100.0,0.0,0.0,0.0,20.0,30.0,50.0,30.0,0.0,10.0,0.0,10.0,20.0,20.0,20.0,30.0,50.0,70.0,0.0,10.0,0.0,10.0,20.0,20.0
tile_0051,31.0,28.0,22.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,30.0,20.0,30.0,5.0,0.0,20.0,10.0,10.0,30.0,40.0,30.0,80.0,70.0,5.0,0.0,20.0,10.0,10.0,30.0
tile_0052,22.0,18.0,19.0,False,False,False,0.0,100.0,0.0,0.0,0.0,30.0,20.0,50.0,60.0,10.0,10.0,10.0,5.0,10.0,15.0,30.0,20.0,50.0,40.0,10.0,10.0,10.0,5.0,10.0,15.0
tile_0053,20.0,20.0,,False,False,True,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,60.0,10.0,0.0,5.0,10.0,25.0,10.0,40.0,20.0,20.0,60.0,10.0,0.0,5.0,10.0,25.0,10.0
tile_0054,23.244,29.244,22.244,False,False,False,26.89,73.11,0.0,0.0,0.0,50.0,75.0,20.0,0.0,5.0,0.0,10.0,15.0,25.0,10.0,23.11,48.11,53.11,73.11,5.0,0.0,10.0,15.0,25.0,10.0
tile_0055,40.0,40.0,33.0,False,False,False,0.0,100.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,10.0,75.0,75.0,100.0,100.0,0.0,0.0,0.0,15.0,25.0,10.0
tile_0056,20.464,20.464,20.464,False,False,False,48.84,51.16,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,1.1599999999999966,1.1599999999999966,51.16,51.16,0.0,0.0,0.0,25.0,50.0,25.0
tile_0057,19.6,20.0,20.0,False,False,False,77.79,22.21,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,20.0,25.0,28.0,25.0,27.790000000000006,27.790000000000006,22.21,22.21,0.0,0.0,20.0,25.0,28.0,25.0
tile_0058,10.0,20.0,32.0,False,False,False,100.0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0
tile_0059,27.2,15.2,20.2,False,False,False,12.0,88.0,0.0,0.0,0.0,50.0,30.0,20.0,50.0,5.0,0.0,5.0,10.0,20.0,10.0,38.0,18.0,68.0,38.0,5.0,0.0,5.0,10.0,20.0,10.0
tile_0060,21.468,22.468,16.468,False,False,False,26.33,73.67,0.0,0.0,0.0,40.0,50.0,20.0,20.0,5.0,5.0,10.0,25.0,25.0,5.0,13.670000000000002,23.67,53.67,53.67,5.0,5.0,10.0,25.0,25.0,5.0
tile_0061,16.0,11.291999999999998,12.291999999999998,False,False,False,44.27,55.73,0.0,0.0,0.0,40.0,45.0,20.0,25.0,10.0,10.0,5.0,10.0,25.0,5.0,4.270000000000003,0.7299999999999969,35.73,30.729999999999997,10.0,10.0,5.0,10.0,25.0,5.0
tile_0062,19.0,18.0,18.0,False,False,False,58.02,41.98,0.0,0.0,0.0,40.0,45.0,10.0,10.0,30.0,30.0,10.0,10.0,5.0,5.0,18.020000000000003,13.020000000000003,31.979999999999997,31.979999999999997,30.0,30.0,10.0,10.0,5.0,5.0
tile_0063,30.0,28.0,28.0,False,False,False,64.24,35.76,0.0,0.0,0.0,20.0,20.0,10.0,10.0,60.0,50.0,10.0,10.0,10.0,10.0,44.239999999999995,44.239999999999995,25.759999999999998,25.759999999999998,60.0,50.0,10.0,10.0,10.0,10.0
tile_0064,20.0,22.0,,False,False,True,0.0,0.0,0.0,0.0,0.0,10.0,17.0,10.0,10.0,60.0,55.0,10.0,10.0,10.0,18.0,10.0,17.0,10.0,10.0,60.0,55.0,10.0,10.0,10.0,18.0
tile_0065,32.0,23.0,,False,False,True,100.0,0.0,0.0,0.0,0.0,20.0,45.0,10.0,25.0,50.0,20.0,10.0,10.0,10.0,5.0,80.0,55.0,10.0,25.0,50.0,20.0,10.0,10.0,10.0,5.0
tile_0066,34.0,,25.0,False,True,False,100.0,0.0,0.0,0.0,0.0,20.0,,10.0,,60.0,,10.0,,10.0,,80.0,,10.0,,60.0,,10.0,,10.0,
tile_0067,32.0,34.0,32.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,30.0,20.0,10.0,10.0,20.0,5.0,10.0,25.0,20.0,40.0,30.0,80.0,90.0,10.0,20.0,5.0,10.0,25.0,20.0
tile_0068,28.0,30.0,31.0,False,False,False,0.0,100.0,0.0,0.0,0.0,20.0,40.0,30.0,20.0,5.0,5.0,20.0,20.0,25.0,5.0,20.0,40.0,70.0,80.0,5.0,5.0,20.0,20.0,25.0,5.0
tile_0069,20.0,21.0,20.0,False,False,False,0.0,100.0,0.0,0.0,0.0,10.0,20.0,50.0,50.0,0.0,5.0,0.0,25.0,40.0,5.0,10.0,20.0,50.0,50.0,0.0,5.0,0.0,25.0,40.0,5.0
tile_0070,32.0,31.0,20.0,False,False,False,0.0,100.0,0.0,0.0,0.0,30.0,30.0,20.0,20.0,5.0,5.0,10.0,20.0,35.0,20.0,30.0,30.0,80.0,80.0,5.0,5.0,10.0,20.0,35.0,20.0
tile_0071,22.0,22.0,22.0,False,False,False,0.0,100.0,0.0,0.0,0.0,30.0,30.0,50.0,50.0,5.0,10.0,10.0,10.0,15.0,10.0,30.0,30.0,50.0,50.0,5.0,10.0,10.0,10.0,15.0,10.0
tile_0072,25.387999999999998,29.387999999999998,20.387999999999998,False,False,False,21.53,78.47,0.0,0.0,0.0,50.0,60.0,20.0,10.0,5.0,0.0,10.0,25.0,25.0,15.0,28.47,38.47,58.47,68.47,5.0,0.0,10.0,25.0,25.0,15.0
tile_0073,21.068,22.068,21.068,False,False,False,27.33,72.67,0.0,0.0,0.0,50.0,50.0,20.0,20.0,5.0,5.0,5.0,25.0,20.0,5.0,22.67,22.67,52.67,52.67,5.0,5.0,5.0,25.0,20.0,5.0
tile_0074,23.532,22.532,16.532,False,False,False,26.17,73.83,0.0,0.0,0.0,50.0,50.0,20.0,20.0,5.0,5.0,10.0,25.0,25.0,5.0,23.83,23.83,53.83,53.83,5.0,5.0,10.0,25.0,25.0,5.0
tile_0075,25.568,30.568,24.568,False,False,False,16.08,83.92,0.0,0.0,0.0,60.0,75.0,20.0,10.0,5.0,0.0,5.0,10.0,10.0,10.0,43.92,58.92,63.92,73.92,5.0,0.0,5.0,10.0,10.0,10.0
tile_0076,17.548000000000002,18.548000000000002,19.548000000000002,False,False,False,18.63,81.37,0.0,0.0,0.0,40.0,40.0,30.0,30.0,5.0,5.0,5.0,10.0,5.0,5.0,21.37,21.37,51.370000000000005,51.370000000000005,5.0,5.0,5.0,10.0,5.0,5.0
tile_0077,32.36,23.360000000000003,19.360000000000003,False,False,False,19.1,80.9,0.0,0.0,0.0,75.0,50.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,5.0,55.9,30.9,80.9,55.900000000000006,0.0,0.0,0.0,25.0,25.0,5.0
tile_0078,18.188,12.0,12.0,False,False,False,54.53,45.47,0.0,0.0,0.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,20.47,4.530000000000001,45.47,45.47,0.0,0.0,0.0,10.0,25.0,0.0
tile_0079,28.4,18.951999999999998,,False,False,True,30.12,69.88,0.0,0.0,0.0,20.0,35.0,10.0,25.0,30.0,30.0,5.0,10.0,37.0,5.0,10.120000000000001,4.879999999999999,59.879999999999995,44.879999999999995,30.0,30.0,5.0,10.0,37.0,5.0
tile_0080,22.0,22.0,21.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,34.0,10.0,10.0,60.0,39.0,10.0,10.0,10.0,17.0,20.0,34.0,10.0,10.0,60.0,39.0,10.0,10.0,10.0,17.0
tile_0081,20.0,22.0,22.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,27.0,10.0,10.0,30.0,55.0,10.0,1.0,30.0,17.0,20.0,27.0,10.0,10.0,30.0,55.0,10.0,1.0,30.0,17.0
tile_0082,21.0,22.0,,False,False,True,0.0,0.0,0.0,0.0,0.0,20.0,27.0,10.0,10.0,10.0,45.0,10.0,10.0,55.0,18.0,20.0,27.0,10.0,10.0,10.0,45.0,10.0,10.0,55.0,18.0
tile_0083,9.999999999999998,14.0,11.999999999999998,False,False,False,79.57,20.43,0.0,0.0,0.0,75.0,60.0,0.0,10.0,0.0,20.0,0.0,10.0,25.0,10.0,4.569999999999993,19.569999999999993,20.43,10.43,0.0,20.0,0.0,10.0,25.0,10.0
tile_0084,16.0,17.0,8.748000000000001,False,False,False,71.87,28.13,0.0,0.0,0.0,40.0,45.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,31.870000000000005,26.870000000000005,8.129999999999999,18.13,10.0,20.0,10.0,10.0,20.0,10.0
tile_0085,24.1,28.9,28.1,False,False,False,19.75,80.25,0.0,0.0,0.0,40.0,45.0,20.0,10.0,5.0,0.0,10.0,10.0,25.0,39.0,20.25,25.25,60.25,70.25,5.0,0.0,10.0,10.0,25.0,39.0
tile_0086,15.24,8.24,13.24,False,False,False,46.9,53.1,0.0,0.0,0.0,50.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0,3.1000000000000014,3.1000000000000014,33.1,23.1,5.0,5.0,10.0,5.0,25.0,5.0
tile_0087,28.0,30.0,28.0,False,False,False,0.0,100.0,0.0,0.0,0.0,20.0,45.0,30.0,25.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,45.0,70.0,75.0,20.0,10.0,10.0,10.0,20.0,10.0
tile_0088,32.0,35.0,22.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,35.0,20.0,10.0,10.0,10.0,5.0,10.0,25.0,30.0,40.0,35.0,80.0,90.0,10.0,10.0,5.0,10.0,25.0,30.0
tile_0089,25.0,28.0,34.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,40.0,30.0,30.0,5.0,10.0,5.0,10.0,5.0,10.0,40.0,40.0,70.0,70.0,5.0,10.0,5.0,10.0,5.0,10.0
tile_0090,27.116000000000003,15.116000000000003,18.116000000000003,False,False,False,32.21,67.79,0.0,0.0,0.0,50.0,50.0,0.0,30.0,0.0,5.0,0.0,10.0,50.0,5.0,17.79,17.79,67.79,37.790000000000006,0.0,5.0,0.0,10.0,50.0,5.0
tile_0091,11.384,14.384,3.3840000000000003,False,False,False,39.04,60.96,0.0,0.0,0.0,50.0,40.0,30.0,30.0,5.0,5.0,5.0,10.0,5.0,25.0,10.96,0.9600000000000009,30.96,30.96,5.0,5.0,5.0,10.0,5.0,25.0
tile_0092,27.116000000000003,19.116000000000003,27.116000000000003,False,False,False,32.21,67.79,0.0,0.0,0.0,50.0,50.0,0.0,20.0,0.0,0.0,0.0,10.0,50.0,20.0,17.79,17.79,67.79,47.790000000000006,0.0,0.0,0.0,10.0,50.0,20.0
tile_0093,28.827999999999996,30.827999999999996,28.827999999999996,False,False,False,7.93,92.07,0.0,0.0,0.0,50.0,50.0,20.0,20.0,5.0,5.0,5.0,10.0,20.0,25.0,42.07,42.07,72.07,72.07,5.0,5.0,5.0,10.0,20.0,25.0
tile_0094,38.956,18.956,20.956,False,False,False,2.61,97.39,0.0,0.0,0.0,50.0,30.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,20.0,47.39,27.39,97.39,47.39,0.0,0.0,0.0,0.0,50.0,20.0
tile_0095,3.063999999999999,3.063999999999999,7.063999999999998,False,False,False,82.66,17.34,0.0,0.0,0.0,75.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659999999999997,7.659999999999997,7.66,7.66,0.0,0.0,0.0,0.0,0.0,0.0
tile_0096,14.0,8.0,8.0,False,False,False,55.77,44.23,0.0,0.0,0.0,50.0,50.0,20.0,30.0,5.0,5.0,10.0,10.0,25.0,5.0,5.770000000000003,5.770000000000003,24.229999999999997,14.229999999999997,5.0,5.0,10.0,10.0,25.0,5.0
tile_0097,24.127999999999997,27.127999999999997,22.127999999999997,False,False,False,19.68,80.32,0.0,0.0,0.0,50.0,45.0,20.0,10.0,10.0,10.0,5.0,10.0,15.0,20.0,30.32,25.32,60.31999999999999,70.32,10.0,10.0,5.0,10.0,15.0,20.0
tile_0098,20.0,22.0,22.0,False,False,False,0.0,0.0,0.0,0.0,0.0,10.0,27.0,10.0,10.0,60.0,45.0,10.0,10.0,10.0,18.0,10.0,27.0,10.0,10.0,60.0,45.0,10.0,10.0,10.0,18.0
tile_0099,28.0,20.988,27.0,False,False,False,37.53,62.47,0.0,0.0,0.0,20.0,45.0,10.0,10.0,30.0,30.0,10.0,10.0,30.0,5.0,17.53,7.469999999999999,52.47,52.47,30.0,30.0,10.0,10.0,30.0,5.0
tile_0100,28.0,,21.3,False,True,False,24.25,75.75,0.0,0.0,0.0,20.0,,10.0,,30.0,,10.0,,30.0,,4.25,,65.75,,30.0,,10.0,,30.0,
tile_0101,13.907999999999998,15.0,12.907999999999998,False,False,False,82.27,17.73,0.0,0.0,0.0,50.0,50.0,25.0,10.0,5.0,20.0,5.0,5.0,20.0,10.0,32.269999999999996,32.269999999999996,7.27,7.73,5.0,20.0,5.0,5.0,20.0,10.0
tile_0102,16.22,18.22,18.22,False,False,False,90.55,9.45,0.0,0.0,0.0,50.0,45.0,20.0,10.0,10.0,30.0,5.0,10.0,15.0,5.0,40.55,45.55,10.55,0.5500000000000007,10.0,30.0,5.0,10.0,15.0,5.0
tile_0103,31.327999999999996,25.327999999999996,25.327999999999996,False,False,False,6.68,93.32,0.0,0.0,0.0,60.0,45.0,20.0,25.0,10.0,10.0,10.0,5.0,10.0,5.0,53.32,38.32,73.32,68.32,10.0,10.0,10.0,5.0,10.0,5.0
tile_0104,29.656,27.656,15.656,False,False,False,10.86,89.14,0.0,0.0,0.0,50.0,40.0,20.0,20.0,5.0,5.0,10.0,20.0,25.0,15.0,39.14,29.14,69.14,69.14,5.0,5.0,10.0,20.0,25.0,15.0
tile_0105,22.272000000000002,24.272000000000002,28.272000000000002,False,False,False,9.32,90.68,0.0,0.0,0.0,40.0,30.0,30.0,30.0,5.0,10.0,10.0,10.0,5.0,20.0,30.68,20.68,60.68000000000001,60.68000000000001,5.0,10.0,10.0,10.0,5.0,20.0
