region,tile_id,mae_lr,mae_sr,mae_gt_raster,refused_lr,refused_sr,refused_gt_raster,gt_forest,gt_agriculture,gt_urban,gt_water,gt_bare_soil,lr_forest,sr_forest,lr_agriculture,sr_agriculture,lr_urban,sr_urban,lr_water,sr_water,lr_bare_soil,sr_bare_soil,mae_lr_forest,mae_sr_forest,mae_lr_agriculture,mae_sr_agriculture,mae_lr_urban,mae_sr_urban,mae_lr_water,mae_sr_water,mae_lr_bare_soil,mae_sr_bare_soil
R1,tile_0017,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,60.0,60.0,20.0,0.0,5.0,0.0,5.0,0.0,10.0,40.0,60.0,60.0,20.0,0.0,5.0,0.0,5.0,0.0,10.0,40.0
R1,tile_0018,22.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,75.0,20.0,0.0,5.0,0.0,10.0,0.0,25.0,25.0,50.0,75.0,20.0,0.0,5.0,0.0,10.0,0.0,25.0,25.0
R1,tile_0019,20.0,20.0,19.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,10.0,0.0,10.0,0.0,20.0,50.0,20.0,50.0,40.0,0.0,10.0,0.0,10.0,0.0,20.0,50.0,20.0
R1,tile_0020,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0
R1,tile_0021,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,60.0,0.0,10.0,0.0,0.0,0.0,20.0,50.0,10.0,50.0,60.0,0.0,10.0,0.0,0.0,0.0,20.0,50.0,10.0
R1,tile_0022,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0
R1,tile_0023,20.0,20.0,22.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,50.0,20.0,30.0,5.0,0.0,10.0,0.0,25.0,20.0,40.0,50.0,20.0,30.0,5.0,0.0,10.0,0.0,25.0,20.0
R1,tile_0024,17.0,19.0,22.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,50.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,40.0,50.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0
R1,tile_0025,21.0,20.0,21.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,20.0,50.0,50.0,5.0,0.0,25.0,10.0,5.0,20.0,20.0,20.0,50.0,50.0,5.0,0.0,25.0,10.0,5.0,20.0
R1,tile_0026,23.504,12.504,16.504,False,False,False,0.0,81.26,0.0,18.74,0.0,30.0,20.0,20.0,50.0,5.0,0.0,20.0,25.0,20.0,5.0,30.0,20.0,61.260000000000005,31.260000000000005,5.0,0.0,1.2600000000000016,6.260000000000002,20.0,5.0
R1,tile_0027,22.0,16.0,18.0,False,False,False,0.0,100.0,0.0,0.0,0.0,20.0,20.0,50.0,60.0,5.0,0.0,10.0,0.0,25.0,20.0,20.0,20.0,50.0,40.0,5.0,0.0,10.0,0.0,25.0,20.0
R1,tile_0028,25.72,15.72,17.72,False,False,False,25.7,74.3,0.0,0.0,0.0,75.0,40.0,10.0,30.0,0.0,5.0,0.0,10.0,15.0,5.0,49.3,14.3,64.3,44.3,0.0,5.0,0.0,10.0,15.0,5.0
R1,tile_0029,28.904000000000003,28.904000000000003,22.904000000000003,False,False,False,27.74,72.26,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,22.26,22.26,72.26,72.26,0.0,0.0,0.0,0.0,50.0,50.0
R1,tile_0030,40.0,20.0,22.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,20.0,0.0,50.0,0.0,0.0,0.0,25.0,50.0,5.0,50.0,20.0,100.0,50.0,0.0,0.0,0.0,25.0,50.0,5.0
R1,tile_0031,32.0,16.0,16.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,25.0,20.0,40.0,20.0,80.0,40.0,5.0,0.0,10.0,0.0,25.0,20.0
R1,tile_0032,32.0,16.0,16.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,20.0,20.0,60.0,5.0,0.0,5.0,0.0,20.0,20.0,50.0,20.0,80.0,40.0,5.0,0.0,5.0,0.0,20.0,20.0
R1,tile_0033,19.616000000000003,,16.0,False,True,False,0.0,30.96,69.04,0.0,0.0,20.0,,50.0,,20.0,,5.0,,5.0,,20.0,,19.04,,49.040000000000006,,5.0,,5.0,
R1,tile_0034,25.0,13.0,9.0,False,False,False,0.0,46.13,53.87,0.0,0.0,45.0,20.0,20.0,30.0,10.0,40.0,5.0,10.0,5.0,5.0,45.0,20.0,26.130000000000003,16.130000000000003,43.87,13.869999999999996,5.0,10.0,5.0,5.0
R1,tile_0035,24.0,20.0,20.0,False,False,False,0.0,12.43,87.57,0.0,0.0,20.0,20.0,10.0,10.0,30.0,40.0,10.0,10.0,30.0,20.0,20.0,20.0,2.43,2.43,57.56999999999999,47.56999999999999,10.0,10.0,30.0,20.0
R1,tile_0036,25.068,25.968,21.968,False,False,False,0.0,10.08,72.67,0.0,17.25,40.0,45.0,20.0,20.0,10.0,15.0,5.0,10.0,25.0,10.0,40.0,45.0,9.92,9.92,62.67,57.67,5.0,10.0,7.75,7.25
R1,tile_0037,20.0,30.0,31.0,False,False,False,0.0,20.95,0.0,0.0,79.05,50.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,50.0,50.0,20.95,20.95,0.0,0.0,0.0,25.0,29.05,54.05
R1,tile_0038,30.728,28.660000000000004,25.912,False,False,False,23.13,74.15,0.0,2.67,0.05,50.0,50.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,5.0,26.87,26.87,74.15,74.15,0.0,0.0,2.67,37.33,49.95,4.95
R1,tile_0039,21.08,16.080000000000002,24.08,False,False,False,39.8,60.2,0.0,0.0,0.0,60.0,60.0,10.0,0.0,5.0,0.0,5.0,0.0,25.0,0.0,20.200000000000003,20.200000000000003,50.2,60.2,5.0,0.0,5.0,0.0,25.0,0.0
R1,tile_0040,18.148000000000003,26.148000000000003,26.148000000000003,False,False,False,34.63,65.37,0.0,0.0,0.0,60.0,75.0,20.0,0.0,5.0,0.0,5.0,0.0,10.0,25.0,25.37,40.37,45.370000000000005,65.37,5.0,0.0,5.0,0.0,10.0,25.0
R1,tile_0041,20.138,25.738,25.738,False,False,False,31.47,65.34,0.0,3.18,0.0,50.0,50.0,20.0,0.0,5.0,0.0,10.0,20.0,25.0,28.0,18.53,18.53,45.34,65.34,5.0,0.0,6.82,16.82,25.0,28.0
R1,tile_0042,20.744,20.744,16.744,False,False,False,3.14,20.21,18.66,57.99,0.0,40.0,30.0,20.0,10.0,5.0,10.0,10.0,20.0,5.0,20.0,36.86,26.86,0.2100000000000008,10.21,13.66,8.66,47.99,37.99,5.0,20.0
R1,tile_0043,13.684000000000005,7.332000000000001,16.332,False,False,False,80.04,0.0,4.17,0.0,15.79,50.0,75.0,0.0,10.0,0.0,5.0,0.0,10.0,50.0,5.0,30.040000000000006,5.040000000000006,0.0,10.0,4.17,0.8300000000000001,0.0,10.0,34.21,10.79
R1,tile_0044,18.772,12.772,2.772,False,False,False,43.07,0.0,0.0,0.0,56.93,60.0,75.0,20.0,0.0,5.0,0.0,5.0,0.0,10.0,25.0,16.93,31.93,20.0,0.0,5.0,0.0,5.0,0.0,46.93,31.93
R1,tile_0045,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0
R1,tile_0046,20.0,20.0,22.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,50.0,20.0,20.0,5.0,5.0,10.0,5.0,25.0,20.0,40.0,50.0,20.0,20.0,5.0,5.0,10.0,5.0,25.0,20.0
R1,tile_0047,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,60.0,0.0,20.0,0.0,0.0,25.0,0.0,25.0,20.0,50.0,60.0,0.0,20.0,0.0,0.0,25.0,0.0,25.0,20.0
R1,tile_0048,20.0,20.0,18.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,60.0,0.0,20.0,0.0,5.0,0.0,5.0,50.0,10.0,50.0,60.0,0.0,20.0,0.0,5.0,0.0,5.0,50.0,10.0
R1,tile_0049,23.404000000000003,13.956,15.404000000000002,False,False,False,1.49,84.89,0.0,13.62,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,25.0,5.0,5.0,38.51,18.51,64.89,34.89,5.0,0.0,3.619999999999999,11.38,5.0,5.0
R1,tile_0050,18.0,16.0,,False,False,True,0.0,100.0,0.0,0.0,0.0,20.0,20.0,50.0,60.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,50.0,40.0,0.0,0.0,0.0,0.0,20.0,20.0
R1,tile_0051,24.996,18.996,20.996,False,False,False,2.51,97.49,0.0,0.0,0.0,30.0,20.0,40.0,50.0,5.0,0.0,10.0,10.0,25.0,20.0,27.49,17.490000000000002,57.49,47.49,5.0,0.0,10.0,10.0,25.0,20.0
R1,tile_0052,31.284,22.548,19.548,False,False,False,19.29,76.37,0.0,1.84,2.5,50.0,60.0,0.0,20.0,0.0,5.0,0.0,5.0,50.0,10.0,30.71,40.71,76.37,56.370000000000005,0.0,5.0,1.84,3.16,47.5,7.5
R1,tile_0053,28.0,21.0,19.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,30.0,20.0,50.0,5.0,10.0,10.0,5.0,5.0,10.0,40.0,30.0,80.0,50.0,5.0,10.0,10.0,5.0,5.0,10.0
R1,tile_0054,32.0,18.0,,False,False,True,0.0,100.0,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,0.0,25.0,20.0,40.0,20.0,80.0,50.0,5.0,0.0,10.0,0.0,25.0,20.0
R1,tile_0055,34.0,19.6,20.0,False,False,False,0.0,100.0,0.0,0.0,0.0,60.0,20.0,20.0,50.0,10.0,0.0,10.0,0.0,10.0,28.0,60.0,20.0,80.0,50.0,10.0,0.0,10.0,0.0,10.0,28.0
R1,tile_0056,12.063999999999998,11.063999999999998,,False,False,True,0.0,49.84,50.16,0.0,0.0,20.0,20.0,50.0,50.0,20.0,25.0,5.0,5.0,5.0,5.0,20.0,20.0,0.1599999999999966,0.1599999999999966,30.16,25.16,5.0,5.0,5.0,5.0
R1,tile_0057,28.0,24.0,,False,False,True,0.0,66.9,33.1,0.0,0.0,40.0,20.0,20.0,10.0,10.0,30.0,5.0,10.0,25.0,30.0,40.0,20.0,46.900000000000006,56.900000000000006,23.1,3.1000000000000014,5.0,10.0,25.0,30.0
R1,tile_0058,31.9,24.9,,False,False,True,1.33,3.92,94.75,0.0,0.0,40.0,45.0,20.0,10.0,5.0,35.0,10.0,10.0,5.0,5.0,38.67,43.67,16.08,6.08,89.75,59.75,10.0,10.0,5.0,5.0
R1,tile_0059,10.624,18.052,10.624,False,False,False,1.44,15.93,75.63,0.0,7.0,20.0,40.0,10.0,20.0,60.0,35.0,10.0,5.0,10.0,5.0,18.56,38.56,5.93,4.07,15.629999999999995,40.63,10.0,5.0,3.0,2.0
R1,tile_0060,30.0,26.892000000000003,26.892000000000003,False,False,False,0.0,0.0,27.77,0.0,72.23,50.0,45.0,20.0,10.0,10.0,30.0,5.0,10.0,15.0,5.0,50.0,45.0,20.0,10.0,17.77,2.2300000000000004,5.0,10.0,57.23,67.23
R1,tile_0061,16.252000000000002,20.452,22.252,False,False,False,9.37,16.91,0.0,0.0,73.72,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,39.0,40.63,50.63,16.91,16.91,0.0,0.0,0.0,0.0,23.72,34.72
R1,tile_0062,19.222,19.526000000000003,15.526,False,False,False,29.89,46.76,0.0,1.3,22.06,50.0,60.0,0.0,10.0,0.0,0.0,0.0,20.0,50.0,10.0,20.11,30.11,46.76,36.76,0.0,0.0,1.3,18.7,27.94,12.06
R1,tile_0063,24.084,24.084000000000003,14.468,False,False,False,39.78,51.17,9.04,0.0,0.01,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,35.22,10.22,51.17,51.17,9.04,9.04,0.0,0.0,24.99,49.99
R1,tile_0064,28.292,20.920000000000005,,False,False,True,11.77,48.63,26.17,13.43,0.0,60.0,45.0,10.0,10.0,5.0,10.0,5.0,20.0,25.0,10.0,48.23,33.230000000000004,38.63,38.63,21.17,16.17,8.43,6.57,25.0,10.0
R1,tile_0065,22.42,17.42,,False,False,True,17.78,3.63,24.21,51.84,2.54,50.0,40.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,5.0,32.22,22.22,16.37,16.37,14.21,14.21,41.84,31.840000000000003,7.46,2.46
R1,tile_0066,15.204,11.291999999999998,9.204,False,False,False,46.77,5.22,0.0,0.0,48.01,60.0,75.0,20.0,0.0,5.0,0.0,5.0,0.0,10.0,25.0,13.229999999999997,28.23,14.78,5.22,5.0,0.0,5.0,0.0,38.01,23.01
R1,tile_0067,16.056,13.407999999999998,7.808000000000002,False,False,False,49.86,0.0,0.0,1.62,48.52,80.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,30.14,25.14,0.0,0.0,0.0,0.0,1.62,8.379999999999999,48.52,33.52
R1,tile_0068,22.0,22.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,50.0,20.0,20.0,5.0,5.0,10.0,10.0,25.0,25.0,50.0,50.0,20.0,20.0,5.0,5.0,10.0,10.0,25.0,25.0
R1,tile_0069,19.0,20.0,22.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,20.0,30.0,50.0,5.0,0.0,5.0,10.0,5.0,20.0,50.0,20.0,30.0,50.0,5.0,0.0,5.0,10.0,5.0,20.0
R1,tile_0070,20.0,20.0,17.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,50.0,0.0,0.0,0.0,10.0,50.0,20.0,50.0,20.0,0.0,50.0,0.0,0.0,0.0,10.0,50.0,20.0
R1,tile_0071,21.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,30.0,25.0,50.0,5.0,0.0,5.0,0.0,20.0,20.0,50.0,30.0,25.0,50.0,5.0,0.0,5.0,0.0,20.0,20.0
R1,tile_0072,36.4,27.0,22.0,False,False,False,0.0,100.0,0.0,0.0,0.0,20.0,50.0,10.0,30.0,5.0,5.0,10.0,5.0,57.0,5.0,20.0,50.0,90.0,70.0,5.0,5.0,10.0,5.0,57.0,5.0
R1,tile_0073,23.472,18.472,18.472,False,False,False,21.32,78.68,0.0,0.0,0.0,40.0,50.0,20.0,30.0,10.0,5.0,5.0,5.0,25.0,5.0,18.68,28.68,58.68000000000001,48.68000000000001,10.0,5.0,5.0,5.0,25.0,5.0
R1,tile_0074,31.804,15.804000000000002,15.804000000000002,False,False,False,0.49,99.51,0.0,0.0,0.0,30.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,35.0,20.0,29.51,19.51,79.51,39.510000000000005,5.0,0.0,10.0,0.0,35.0,20.0
R1,tile_0075,31.0,15.0,15.0,False,False,False,2.5,97.5,0.0,0.0,0.0,50.0,20.0,20.0,60.0,5.0,0.0,5.0,0.0,20.0,20.0,47.5,17.5,77.5,37.5,5.0,0.0,5.0,0.0,20.0,20.0
R1,tile_0076,30.7,19.3,17.7,False,False,False,0.75,99.25,0.0,0.0,0.0,50.0,20.0,25.0,50.0,5.0,0.0,5.0,0.0,20.0,28.0,49.25,19.25,74.25,49.25,5.0,0.0,5.0,0.0,20.0,28.0
R1,tile_0077,22.474000000000004,18.474000000000004,12.474,False,False,False,17.35,81.18,1.46,0.0,0.0,50.0,40.0,25.0,30.0,5.0,5.0,10.0,10.0,10.0,5.0,32.65,22.65,56.18000000000001,51.18000000000001,3.54,3.54,10.0,10.0,10.0,5.0
R1,tile_0078,25.186,16.186,12.186000000000002,False,False,False,17.03,67.43,15.53,0.0,0.0,50.0,45.0,20.0,30.0,5.0,10.0,10.0,5.0,25.0,5.0,32.97,27.97,47.43000000000001,37.43000000000001,10.53,5.529999999999999,10.0,5.0,25.0,5.0
R1,tile_0079,22.866000000000003,24.866,24.866,False,False,False,6.37,87.17,6.47,0.0,0.0,40.0,30.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,33.63,23.63,57.17,67.17,3.53,3.53,10.0,10.0,10.0,20.0
R1,tile_0080,9.088,9.932,14.088,False,False,False,40.39,54.83,4.78,0.0,0.0,40.0,50.0,20.0,30.0,5.0,10.0,5.0,5.0,5.0,5.0,0.3900000000000005,9.61,34.83,24.83,0.2199999999999997,5.22,5.0,5.0,5.0,5.0
R1,tile_0081,29.044,20.044,14.044,False,False,False,14.67,2.72,82.61,0.0,0.0,40.0,45.0,20.0,10.0,10.0,35.0,5.0,10.0,25.0,5.0,25.33,30.33,17.28,7.279999999999999,72.61,47.61,5.0,10.0,25.0,5.0
R1,tile_0082,14.26,13.26,7.584,False,False,False,26.04,24.82,30.83,0.0,18.31,50.0,45.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,23.96,18.96,14.82,14.82,20.83,20.83,10.0,10.0,1.6900000000000013,1.6900000000000013
R1,tile_0083,30.0,30.0,20.0,False,False,False,0.0,0.0,2.56,0.0,97.44,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,75.0,75.0,0.0,0.0,2.56,2.56,0.0,0.0,72.44,72.44
R1,tile_0084,32.968,32.968,16.968,False,False,False,7.58,0.0,0.0,0.0,92.42,60.0,75.0,20.0,0.0,5.0,0.0,5.0,15.0,10.0,10.0,52.42,67.42,20.0,0.0,5.0,0.0,5.0,15.0,82.42,82.42
R1,tile_0085,15.88,3.88,13.88,False,False,False,84.7,0.0,0.0,0.0,15.3,50.0,75.0,20.0,0.0,5.0,0.0,10.0,0.0,25.0,25.0,34.7,9.700000000000005,20.0,0.0,5.0,0.0,10.0,0.0,9.7,9.7
R1,tile_0086,10.916,10.18,7.264,False,False,False,47.71,1.84,7.69,0.0,42.76,75.0,60.0,0.0,10.0,0.0,5.0,0.0,10.0,25.0,25.0,27.29,12.29,1.84,8.16,7.69,2.6900000000000004,0.0,10.0,17.759999999999998,17.759999999999998
R1,tile_0087,24.02,17.296,17.296,False,False,False,3.75,7.63,19.31,68.24,1.07,30.0,20.0,20.0,10.0,5.0,20.0,20.0,20.0,20.0,20.0,26.25,16.25,12.37,2.37,14.31,0.6900000000000013,48.24,48.24,18.93,18.93
R1,tile_0088,11.232,12.32,9.32,False,False,False,29.43,32.69,10.22,22.89,4.77,50.0,60.0,25.0,10.0,20.0,10.0,5.0,20.0,5.0,10.0,20.57,30.57,7.689999999999998,22.69,9.78,0.2200000000000006,17.89,2.890000000000001,0.2300000000000004,5.23
R1,tile_0089,9.934,17.322,4.322,False,False,False,44.19,12.86,11.97,0.0,30.97,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.810000000000002,30.81,12.86,12.86,11.97,11.97,0.0,0.0,19.03,30.97
R1,tile_0090,11.24,15.160000000000002,1.2400000000000009,False,False,False,46.9,0.0,1.09,0.2,51.81,75.0,75.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,15.0,28.1,28.1,0.0,0.0,1.09,1.09,0.2,9.8,26.81,36.81
R1,tile_0091,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0
R1,tile_0092,20.0,21.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,20.0,0.0,5.0,0.0,25.0,50.0,5.0,50.0,50.0,0.0,20.0,0.0,5.0,0.0,25.0,50.0,5.0
R1,tile_0093,17.0,21.0,21.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,40.0,30.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0,40.0,40.0,30.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0
R1,tile_0094,20.0,19.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0,40.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0
R1,tile_0095,21.972,16.972,14.972000000000005,False,False,False,22.72,74.93,0.0,0.0,2.35,50.0,50.0,20.0,30.0,5.0,5.0,5.0,5.0,20.0,5.0,27.28,27.28,54.93000000000001,44.93000000000001,5.0,5.0,5.0,5.0,17.65,2.65
R1,tile_0096,17.476,18.476,19.476,False,False,False,16.53,78.69,0.0,0.0,4.78,30.0,50.0,40.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0,13.47,33.47,38.69,48.69,5.0,5.0,10.0,5.0,20.22,0.2199999999999997
R1,tile_0097,36.184,17.784,15.783999999999995,False,False,False,0.54,99.46,0.0,0.0,0.0,20.0,20.0,10.0,50.0,5.0,0.0,10.0,0.0,57.0,20.0,19.46,19.46,89.46,49.46,5.0,0.0,10.0,0.0,57.0,20.0
R1,tile_0098,20.948,20.948,19.948,False,False,False,12.63,58.95,0.0,0.0,28.42,50.0,60.0,20.0,30.0,10.0,5.0,5.0,5.0,15.0,10.0,37.37,47.37,38.95,28.950000000000003,10.0,5.0,5.0,5.0,13.420000000000002,18.42
R1,tile_0099,11.206,10.286,17.286,False,False,False,31.99,22.3,0.0,0.0,45.72,50.0,50.0,20.0,30.0,5.0,0.0,10.0,0.0,25.0,20.0,18.01,18.01,2.3000000000000007,7.699999999999999,5.0,0.0,10.0,0.0,20.72,25.72
R1,tile_0100,34.0,16.0,18.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,25.0,20.0,50.0,20.0,80.0,40.0,5.0,0.0,10.0,0.0,25.0,20.0
R1,tile_0101,30.998,15.474,14.474,False,False,False,13.81,58.03,19.46,0.0,8.69,50.0,45.0,0.0,30.0,0.0,10.0,0.0,5.0,50.0,5.0,36.19,31.19,58.03,28.03,19.46,9.46,0.0,5.0,41.31,3.69
R1,tile_0102,14.425999999999998,12.426,13.425999999999998,False,False,False,38.94,50.65,10.42,0.0,0.0,50.0,50.0,20.0,25.0,5.0,5.0,5.0,10.0,20.0,10.0,11.060000000000002,11.060000000000002,30.65,25.65,5.42,5.42,5.0,10.0,20.0,10.0
