tile_id,classe,caption_lr,caption_sr,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0059,area edificada,"The image shows a mix of land cover types, including buildings, houses, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0060,brejo pantano,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0061,brejo pantano,"The image shows a bridge and some trees, with the bridge being the most prominent feature in the scene.","The image shows a bridge and some trees, with the bridge being the most prominent feature in the scene.",0.0,0,0.0,0.0,0.0,0.0
tile_0062,campo,"The image shows a remote sensing scene with a bridge, two buildings, and a runway, with the bridge and buildings located close to each other at the right side of the image.","The image shows a bridge and some trees in the center, with a road at the right.",0.0,0,0.0,0.0,0.0,0.0
tile_0063,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, roads, and a large bridge.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0064,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0065,massa dagua,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0066,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0067,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the top right corner.",0.0,0,0.0,0.0,0.0,0.0
tile_0072,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a large area of greenery in the center, surrounded by trees and a road at the bottom right.",0.0,0,0.0,0.0,0.0,0.0
tile_0073,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, roads, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0074,vegetacao cultivada,"The image shows a mix of land cover types, including a building, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a building at the top.",0.0,0,0.0,0.0,0.0,0.0
tile_0075,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, crops, and possibly urban areas, with a road and a building visible in the center.",0.0,0,0.0,0.0,0.0,0.0
tile_0076,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0077,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0078,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0079,campo,"The image shows a mix of land cover types, including a bridge, an airport, a golf field, and a ground track field.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0080,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0081,area edificada,"The image shows a coastal area with a mix of land cover types, including a golf field and a bridge.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.05000000000000001,0,0.09090909090909091,0.0,0.10475117334177524,0.0
tile_0082,area edificada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0083,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a golf field.",0.0,0,0.0,0.0,0.0,0.0
tile_0084,brejo pantano,"The image shows a mix of land cover types, including trees, grass, and a building.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single tree at the bottom.",0.0,0,0.0,0.0,0.0,0.0
tile_0085,floresta,"The image shows a mix of land cover types, including trees, shrubs, and grass, with some areas appearing to be more densely vegetated than others.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0086,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a road, and a golf field.",0.0,0,0.0,0.0,0.0,0.0
tile_0087,massa dagua,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a bridge and a building, with the bridge being the most prominent feature.",0.0,0,0.0,0.0,0.0,0.0
tile_0088,campo,"The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.","The image shows a mix of land cover types, including trees, buildings, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0089,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, roads, and a small vehicle.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0090,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the bottom right.",0.0,0,0.0,0.0,0.0,0.0
tile_0095,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0096,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0097,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a large area of green grass, some trees, and a few buildings.",0.0,0,0.0,0.0,0.0,0.0
tile_0098,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0099,brejo pantano,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0100,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including a building, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0101,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0102,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a baseball field, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0103,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a golf field, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0104,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including a large swimming pool and a small roundabout.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0105,area edificada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0106,brejo pantano,The image shows a land cover type of trees at the bottom left.,"The image shows a remote sensing scene with a mix of land cover types, including trees, an expressway-toll-station, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0107,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0108,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0109,massa dagua,The image shows a land cover type of a large swimming-pool.,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0110,massa dagua,"The image shows a coastal area with a mix of land cover types, including trees, grass, and a building.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0111,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0112,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a large body of water in the center.",0.0,0,0.0,0.0,0.0,0.0
tile_0113,brejo pantano,"The image shows a bridge and some trees, with the bridge being the most prominent feature.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0118,floresta,The image shows a land cover type of trees at the center.,"The remote sensing image shows a mix of land cover types, including trees, fields, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0119,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0120,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0121,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0122,vegetacao cultivada,"The image shows a mix of land cover types, including trees, grass, and a building, with some trees located at the top left corner.","The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0123,vegetacao cultivada,The image shows a land cover type of trees at the bottom left.,"The image shows a mix of land cover types, including grass, trees, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0124,vegetacao cultivada,The image shows a land cover type of trees at the bottom left.,"The image shows a mix of land cover types, including trees, shrubs, and grass, with some areas appearing to be more densely vegetated than others.",0.0,0,0.0,0.0,0.0,0.0
tile_0125,vegetacao cultivada,The image shows a land cover type of trees at the bottom right.,"The image shows a mix of land cover types, including trees, a road, and a golf field.",0.0,0,0.0,0.0,0.0,0.0
tile_0126,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, a golf field, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, a roundabout, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0127,vegetacao cultivada,The image shows a rocky terrain with some trees and a road at the top right.,"The image shows a mix of land cover types, including a golf field, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0128,vegetacao cultivada,"The image shows a bridge and some trees in the center, with the bridge being the most prominent feature.","The image shows a mix of land cover types, including trees, buildings, and a roundabout.",0.0,0,0.0,0.0,0.0,0.0
tile_0129,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0130,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass, with some areas appearing more green than others.","The image shows a mix of land cover types, including trees, a road, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0131,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single building.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0132,massa dagua,The image shows a land cover type of trees at the top right.,"The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0133,brejo pantano,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a road, and a golf field.",0.0,0,0.0,0.0,0.0,0.0
tile_0134,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the top right corner.",0.0,0,0.0,0.0,0.0,0.0
tile_0135,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, hills, and a building.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the top.",0.0,0,0.0,0.0,0.0,0.0
tile_0136,brejo pantano,The image shows a land cover type of trees at the top.,"The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single building.",0.0,0,0.0,0.0,0.0,0.0
tile_0141,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and possibly buildings or other structures.","The image shows a coastal area with a mix of land cover types, including trees and water.",0.0,0,0.0,0.0,0.0,0.0
tile_0142,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The remote sensing image shows a mix of land cover types, including trees, a bridge, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0143,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, fields, and a building, with some trees located at the top and bottom of the image.",0.0,0,0.0,0.0,0.0,0.0
tile_0144,vegetacao cultivada,"The image shows a mix of land cover types, including trees, grass, and a building, with some trees located at the top and bottom of the image.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0145,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a building at the top.",0.0,0,0.0,0.0,0.0,0.0
tile_0146,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The remote sensing image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a building at the top right.",0.0,0,0.0,0.0,0.0,0.0
tile_0147,vegetacao cultivada,The image shows a land cover type of trees at the bottom right.,The image shows a field of green plants at the top of the image.,0.0,0,0.0,0.0,0.0,0.0
tile_0148,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including a building, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0149,vegetacao cultivada,"The image shows a mix of land cover types, including trees, grass, and a runway.","The image shows a mix of land cover types, including trees, roads, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0150,vegetacao cultivada,"The image shows a mix of land cover types, including trees, a bridge, and a road.","The image shows a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0151,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0152,vegetacao cultivada,"The image shows a mix of land cover types, including trees, grass, and a building.","The image shows a mix of land cover types, including bridges, buildings, and a road, with some trees and a single bridge at the top.",0.0,0,0.0,0.0,0.0,0.0
tile_0153,vegetacao cultivada,The image shows a land cover type of a basketball court.,"The image shows a remote sensing scene with a mix of land cover types, including a building, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0154,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the bottom left.",0.0,0,0.0,0.0,0.0,0.0
tile_0155,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and a road.","The image shows a mix of land cover types, including trees, a road, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0156,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0157,brejo pantano,"The image shows a land cover type of a large, pink, and possibly fluffy object at the bottom right.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0158,brejo pantano,"The image shows a coastal area with a mix of land cover types, including trees and a building.","The image shows a mix of land cover types, including trees, shrubs, and grass, with some areas appearing more barren or with fewer trees.",0.0,0,0.0,0.0,0.0,0.0
tile_0159,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and possibly buildings or other structures.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the bottom right.",0.0,0,0.0,0.0,0.0,0.0
tile_0164,massa dagua,"The image shows a coastal area with a mix of land cover types, including trees and a building.","The image shows a coastal area with a mix of land cover types, including trees, a beach, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0165,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees and a building.","The image shows a remote sensing scene with a mix of land cover types, including trees and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0166,massa dagua,The image shows a land cover type of trees at the bottom right.,"The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0167,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.","The remote sensing image shows a mix of land cover types, including trees, a bridge, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0168,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, roads, and a building, with the majority of the area being covered in trees.",0.0,0,0.0,0.0,0.0,0.0
tile_0169,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, roads, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0170,vegetacao cultivada,"The remote sensing image shows a mix of land cover types, including trees, a road, and a building.","The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0171,vegetacao cultivada,The remote sensing image shows a land cover type of trees at the top.,"The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0172,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a large bridge at the bottom left.",0.0,0,0.0,0.0,0.0,0.0
tile_0173,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a road, and a storage tank.",0.0,0,0.0,0.0,0.0,0.0
tile_0174,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a ship.","The image shows a mix of land cover types, including a bridge, a building, and a road, with the bridge being the most prominent feature.",0.0,0,0.0,0.0,0.0,0.0
tile_0175,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a bridge and a road, with the bridge located at the center and the road at the bottom. The land cover type visible is a bridge and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0176,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a bridge, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0177,massa dagua,The image shows a land cover type of trees at the top.,"The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0178,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0179,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a roundabout, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0180,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0181,brejo pantano,"The image shows a mix of land cover types, including trees, shrubs, and grass, with some areas appearing more densely vegetated than others.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0182,brejo pantano,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and possibly buildings or other structures.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0187,vegetacao cultivada,"The image shows a mix of land cover types, including a building, trees, and a road.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0188,massa dagua,The image shows a land cover type of trees at the top.,"The image shows a remote sensing scene with a bridge, some trees, and a road at the top left corner, while the land cover type visible is a mix of trees and water.",0.0,0,0.0,0.0,0.0,0.0
tile_0189,massa dagua,"The image shows a coastal area with a mix of land cover types, including trees and a building.","The image shows a remote sensing scene with a mix of land cover types, including trees, at the top.",0.0,0,0.0,0.0,0.0,0.0
tile_0190,massa dagua,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a coastal area with a mix of land cover types, including trees and water.",0.0,0,0.0,0.0,0.0,0.0
tile_0191,massa dagua,The image shows a land cover type of trees at the bottom right.,"The remote sensing image shows a mix of land cover types, including trees, water, and a small area of land at the bottom right.",0.0,0,0.0,0.0,0.0,0.0
tile_0192,floresta,The image shows a land cover type of trees at the bottom of the scene.,"The image shows a mix of land cover types, including trees, a road, and a small area of land at the bottom left.",0.0,0,0.0,0.0,0.0,0.0
tile_0193,floresta,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0194,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including grass, trees, and a building.","The image shows a mix of land cover types, including trees, a road, and a golf field.",0.0,0,0.0,0.0,0.0,0.0
tile_0195,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a golf field.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
