tile_id,question_id,level,level_name,question,answer_lr,answer_sr,answer_gt
tile_0007,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 50%, agriculture 20%, urban 10%, water 5%, bare soil 15%","forest 30%, agriculture 50%, urban 0%, water 10%, bare soil 10%","forest 20%, agriculture 50%, urban 0%, water 10%, bare soil 20%"
tile_0007,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0007,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,3,10
tile_0007,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0007,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0007,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the top of the image. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the top left corner and the other is located at the top right corner. The roads are not specified as paved or un
tile_0007,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,"There is one building visible in this image, and it is not possible to determine the rooftop color or material from the provided image.",There are two buildings visible in the image. One of them has a gray rooftop.,"There are a total of 3 buildings visible in the image. The building at the top left is surrounded by trees, the building at the top right is surrounded by trees, and the building at the bottom left is surrounded by"
tile_0008,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 20%, agriculture 10%, urban 5%, water 10%, bare soil 57%","forest 20%, agriculture 50%, urban 0%, water 0%, bare soil 20%","forest 20%, agriculture 50%, urban 0%, water 10%, bare soil 20%"
tile_0008,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0008,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,3,10
tile_0008,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0008,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0008,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the center of the image and the other is located at the top of the image. The roads or paths are not specified as,There are two roads or paths visible in this image. One is located at the center of the image and the other is located at the top of the image. The roads are not specified as paved
tile_0008,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in the image. The rooftop is not specified in the image.,"There is one building visible in the image, and it is located at the bottom right. The rooftop of the building is not visible in the image, so it is not possible to determine the color or material of","There are a total of 3 buildings visible in the image. The building at the top left is surrounded by trees, the building at the top right is surrounded by trees, and the building at the bottom left is surrounded by"
tile_0009,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 20%, agriculture 10%, urban 5%, water 20%, bare soil 50%","forest 20%, agriculture 60%, urban 5%, water 5%, bare soil 10%","forest 20%, agriculture 60%, urban 0%, water 0%, bare soil 20%"
tile_0009,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0009,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,4,4
tile_0009,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0009,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0009,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the top right corner. It appears to be an unpaved road, possibly made of dirt or gravel."
tile_0009,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. The rooftop of the building is not specified in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.
tile_0010,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 40%, agriculture 20%, urban 5%, water 5%, bare soil 5%","forest 20%, agriculture 50%, urban 0%, water 10%, bare soil 20%","forest 10%, agriculture 50%, urban 0%, water 0%, bare soil 39%"
tile_0010,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0010,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,3,3
tile_0010,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0010,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,10,4
tile_0010,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the top left corner. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road or path visible in this image, which is located at the top right corner of the image. It appears to be an unpaved road or path, possibly made of dirt"
tile_0010,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. The rooftop of the building is not specified in the image.,"There are a total of 4 buildings visible in the image. The building at the top left is surrounded by trees, and the building at the top right is surrounded by trees as well. The building at the top is surrounded","There are a total of 3 buildings visible in the image. The building at the top is likely a warehouse or factory building, as it is large and has a flat roof. The building at the top right is"
tile_0011,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 30%, agriculture 20%, urban 10%, water 5%, bare soil 30%","forest 20%, agriculture 30%, urban 20%, water 5%, bare soil 25%","forest 10%, agriculture 30%, urban 50%, water 5%, bare soil 10%"
tile_0011,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0011,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0011,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0011,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,11,11
tile_0011,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road.","There are two roads or paths visible in this image. One is located at the bottom right and the other is located at the top. The road at the bottom right appears to be paved, while",There are two roads or paths visible in this image. One is located at the bottom right and the other is located at the top right. The road at the bottom right is paved and appears to
tile_0011,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,"There are a total of 3 buildings visible in the image. The building at the top left is surrounded by trees, the building at the top right is surrounded by trees, and the building at the bottom right is surrounded by","There are a total of 5 buildings visible in the image. The building at the top left is surrounded by trees, and the building at the top right is surrounded by trees as well. The building at the bottom left is",There are a total of 5 buildings visible in the image. The building at the top left is gray in color. The building at the top right is white in color. The building at the bottom is white in color.
tile_0012,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 20%, agriculture 10%, urban 40%, water 10%, bare soil 20%","forest 30%, agriculture 20%, urban 30%, water 10%, bare soil 10%","19% forest, 27% agriculture, 37% urban, 10% water, 16% bare soil."
tile_0012,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",Yes.,Yes.,Yes.
tile_0012,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0012,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0012,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",10,10,10
tile_0012,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top. The road at the bottom left appears to be paved, while","There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top right. The road at the bottom left appears to be paved,","There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top right. The road at the bottom left appears to be paved,"
tile_0012,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There are a total of 10 buildings visible in the image. The color of the rooftop is not specified in the image.,There are a total of 11 buildings visible in the image. The rooftop of one building is described as being gray in color.,There are a total of 11 buildings visible in the image. The rooftop of one building is teal in color.
tile_0013,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 50%, agriculture 25%, urban 20%, water 5%, bare soil 5%.","forest 20%, agriculture 10%, urban 40%, water 10%, bare soil 20%","forest 30%, agriculture 20%, urban 40%, water 10%, bare soil 5%"
tile_0013,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",Yes.,Yes.,Yes.
tile_0013,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0013,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",Yes.,No.,No.
tile_0013,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",10,10,10
tile_0013,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road.",There are two roads or paths visible in this image. One is located at the bottom right and the other is located at the top right. The road at the bottom right is paved and appears to,There are two roads or paths visible in this image. One is located at the bottom right and the other is located at the top left. The road at the bottom right is paved and appears to
tile_0013,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There are a total of 4 buildings visible in the image. The rooftop of one of the buildings is described as being gray in color.,There are a total of 10 buildings visible in the image. The rooftop of one building is described as being gray in color.,"There are a total of 10 buildings visible in the image. The rooftop of one building is described as being close to another building, and it is not specified whether it is the same color or material."
tile_0014,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 50%, agriculture 20%, urban 5%, water 10%, bare soil 25%","forest 40%, water 30%, bare soil 20%, urban 5%, agriculture 5%.","forest 20%, agriculture 10%, urban 5%, water 50%, bare soil 10%"
tile_0014,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0014,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0014,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0014,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,2
tile_0014,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the top left corner. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the bottom left. It appears to be an unpaved road."
tile_0014,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There are two buildings visible in this image. One of them is located at the top left and has a gray color. The other building is located at the top left and has a white color.
tile_0015,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 20%, agriculture 10%, urban 5%, water 20%, bare soil 50%","forest 50%, agriculture 0%, urban 0%, water 25%, bare soil 25%","forest 50%, agriculture 20%, urban 5%, water 5%, bare soil 20%"
tile_0015,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,Yes.,No.
tile_0015,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0015,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0015,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0015,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel. The road is not","There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the bottom right corner. It appears to be an unpaved road, possibly made of dirt or gravel."
tile_0015,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. The rooftop of the building is not specified in the image.,There is one building visible in this image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in this image. The rooftop of the building is not specified in the image.
tile_0016,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 50%, agriculture 20%, urban 5%, water 10%, bare soil 25%","forest 75%, agriculture 0%, urban 0%, water 0%, bare soil 25%","forest 75%, agriculture 0%, urban 0%, water 0%, bare soil 25%"
tile_0016,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",Yes.,No.,No.
tile_0016,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,0
tile_0016,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,No.,No.
